country,tot_points
Abkhazia,0.0
Afghanistan,-74.93925875361604
Albania,-65.55849681249515
Alderney,0.0
Algeria,-51.02523754249296
American Samoa,0.0
Andalusia,0.0
Andorra,-269.5854316455272
Angola,-4.917311000497541
Anguilla,-38.68450373037966
Antigua and Barbuda,-18.609040713074066
Arameans Suryoye,0.0
Argentina,101.71627317849848
Armenia,-96.82297190172058
Artsakh,0.0
Aruba,9.958073086789954
Australia,78.93276353169966
Austria,15.646178004259578
Azerbaijan,-93.47582368443283
Bahamas,11.486489933795372
Bahrain,-8.012223106085065
Bangladesh,-116.01410311446546
Barawa,0.0
Barbados,-96.70158927763737
Basque Country,0.0
Belarus,-180.89416060155042
Belgium,288.19002791963334
Belize,9.001929899336103
Benin,-3.0965211108216124
Bermuda,19.205464652985256
Bhutan,-85.21979633191158
Bolivia,-252.1166489354377
Bonaire,0.0
Bosnia and Herzegovina,45.265771043820415
Botswana,-5.447221114483373
Brazil,137.4261471206868
British Virgin Islands,-26.247588254029566
Brittany,0.0
Brunei,-15.090067691522464
Bulgaria,-43.90353895038953
Burkina Faso,30.474574687681056
Burma,-58.09042736903703
Burundi,-16.196982133484305
Cambodia,-140.54687987426908
Cameroon,-82.84050939743986
Canada,20.059497183060007
Canary Islands,0.0
Cape Verde,-35.51739011515739
Cascadia,0.0
Catalonia,0.0
Cayman Islands,-69.40902378612181
Central African Republic,-68.17552151182444
Chad,-19.747147146458104
Chagos Islands,0.0
Chameria,0.0
Chile,-6.644134470288856
China PR,40.009581431817075
Chinese Taipei,-111.93575207162908
Colombia,95.29220515610982
Comoros,-53.00859863111916
Congo,0.10945306730111282
Cook Islands,0.0
Corsica,0.0
Costa Rica,42.34817165215938
County of Nice,0.0
Crimea,0.0
Croatia,105.37400857262111
Cuba,-74.76898219911416
Curaçao,-36.13206041413532
Cyprus,-155.2204761873326
Czech Republic,-9.40580921377477
DR Congo,64.74331008978575
Darfur,0.0
Denmark,67.19056028712616
Djibouti,-39.89415823105067
Dominica,-53.305820932468976
Dominican Republic,6.215951539130776
East Timor,-170.9337758321004
Ecuador,-88.87322027622741
Egypt,16.309790599472812
El Salvador,12.106033622053998
Ellan Vannin,0.0
England,58.59191894239326
Equatorial Guinea,-47.57392780597398
Eritrea,-64.64260671368072
Estonia,-129.885447266292
Eswatini,-27.432672141650045
Ethiopia,-8.2362859030734
Falkland Islands,0.0
Faroe Islands,-197.5006418892157
Felvidék,0.0
Fiji,-42.986848393720344
Finland,-73.50219732322303
France,228.82306032105726
French Guiana,0.0
Frøya,0.0
Gabon,-34.29648740141361
Galicia,0.0
Gambia,-82.67127653396135
Georgia,-137.5371190266431
Germany,258.78042517035885
Ghana,3.4033653760340736
Gibraltar,-153.26040292612169
Gotland,0.0
Gozo,0.0
Greece,77.25154483527292
Greenland,0.0
Grenada,-30.329591928899852
Guadeloupe,0.0
Guam,-114.91639226467723
Guatemala,53.57284350306339
Guernsey,0.0
Guinea,-21.014166400474075
Guinea-Bissau,-1.8845956589765311
Guyana,-34.455784129611395
Găgăuzia,0.0
Haiti,13.325503829439311
Hitra,0.0
Honduras,-165.1664633061214
Hong Kong,-27.78837602842507
Hungary,-27.28201599785523
Iceland,-3.257550427663638
India,-120.24540002177328
Indonesia,-137.8266424686505
Iran,127.23770305457619
Iraq,18.000901206111983
Iraqi Kurdistan,0.0
Isle of Man,0.0
Isle of Wight,0.0
Israel,-42.16010293307946
Italy,59.61880726580314
Ivory Coast,42.55084329636154
Jamaica,-117.20069338415806
Japan,114.93910364263654
Jersey,0.0
Jordan,44.38092096505936
Kabylia,0.0
Kazakhstan,-202.91250351598327
Kenya,18.937974367396144
Kernow,0.0
Kiribati,0.0
Kosovo,-127.46335091202624
Kuwait,40.82175426822303
Kyrgyzstan,-15.221646988203915
Kárpátalja,0.0
Laos,-123.12830006351241
Latvia,-148.5964142521664
Lebanon,-58.09526942233575
Lesotho,-16.985208191663688
Liberia,-58.451613664821714
Libya,-11.685347072097766
Liechtenstein,-277.5945829934302
Lithuania,-108.84803081507866
Luxembourg,-167.92155242513266
Macau,-40.49317574881994
Madagascar,-4.3145697068401265
Madrid,0.0
Malawi,9.164131067380358
Malaysia,-28.869917427863207
Maldives,-106.49352882217666
Mali,-32.46933744697399
Malta,-261.35969348903143
Martinique,0.0
Matabeleland,0.0
Mauritania,-13.977364580284869
Mauritius,-39.13643420208798
Mayotte,0.0
Menorca,0.0
Mexico,103.88678273465283
Micronesia,0.0
Moldova,-148.70201866753138
Monaco,0.0
Mongolia,-23.1069450225664
Montenegro,7.506656872905316
Montserrat,-39.12546173265057
Morocco,-32.04393969177358
Mozambique,6.935833298863731
Myanmar,-17.18708996082723
Namibia,5.088244595730041
Nepal,-44.64259264164074
Netherlands,222.31515374115043
New Caledonia,18.673080927104955
New Zealand,71.51786983955503
Nicaragua,22.587787340149127
Niger,-31.018419992496092
Nigeria,7.282173453468037
North Korea,-25.2842769226143
North Macedonia,-123.60963012264769
Northern Cyprus,0.0
Northern Ireland,-64.40634091422764
Northern Mariana Islands,0.0
Norway,-54.08011182037757
Occitania,0.0
Oman,45.98386325408953
Orkney,0.0
Padania,0.0
Pakistan,-54.10156221287678
Palestine,-22.396202915717517
Panama,-95.0089050450706
Panjab,0.0
Papua New Guinea,-40.15938717387782
Paraguay,-181.70080315514127
Parishes of Jersey,0.0
Peru,-168.74399115532657
Philippines,-40.3304173013195
Poland,33.0297128649169
Portugal,126.06013162752242
Provence,0.0
Puerto Rico,-4.816921323448021
Qatar,11.893364327373169
Raetia,0.0
Republic of Ireland,17.669543891689784
Republic of St. Pauli,0.0
Rhodes,0.0
Romani people,0.0
Romania,0.5970690446023239
Russia,34.489048971040326
Rwanda,-43.50595241574146
Réunion,0.0
Saare County,0.0
Saint Helena,0.0
Saint Kitts and Nevis,-3.3091980072218448
Saint Lucia,-67.71890070085962
Saint Martin,0.0
Saint Pierre and Miquelon,0.0
Saint Vincent and the Grenadines,-13.70018259800562
Samoa,0.0
San Marino,-316.6157859632434
Sark,0.0
Saudi Arabia,77.84365309370483
Scotland,-10.613432166856148
Senegal,75.48611138043715
Serbia,-7.8493916888024025
Seychelles,-77.39631629637765
Shetland,0.0
Sierra Leone,-5.110940607784768
Silesia,0.0
Singapore,-104.39861268962791
Sint Maarten,0.0
Slovakia,-9.127011019910311
Slovenia,-8.802877745043556
Solomon Islands,-49.120562354873314
Somalia,-39.643300609733295
Somaliland,0.0
South Africa,3.33293633802011
South Korea,31.37989602946412
South Ossetia,0.0
South Sudan,-27.17244002303618
Spain,169.00823823026124
Sri Lanka,-107.67365662174497
Sudan,-73.96628451553839
Suriname,-29.51064387492007
Surrey,0.0
Sweden,33.271983567687144
Switzerland,113.42506876853707
Syria,36.42960560390424
Székely Land,0.0
Sápmi,0.0
São Tomé and Príncipe,-39.65463853411999
Tahiti,-44.30256725325984
Tajikistan,-120.3622756456291
Tamil Eelam,0.0
Tanzania,-43.33863686748157
Thailand,-111.96024644542555
Tibet,0.0
Timor-Leste,-27.2480503382644
Togo,-44.265545089478316
Tonga,0.0
Trinidad and Tobago,-79.37940823163198
Tunisia,59.13691296806863
Turkey,5.575268126252943
Turkmenistan,-0.3796029886645407
Turks and Caicos Islands,-25.59917200603376
Tuvalu,0.0
Two Sicilies,0.0
U.S. Virgin Islands,-55.50001254569278
Uganda,30.18833844927679
Ukraine,57.945369531954796
United Arab Emirates,-33.15552865341451
United Koreans in Japan,0.0
United States,53.54656121159573
Uruguay,79.6520134053676
Uzbekistan,104.88921306938245
Vanuatu,0.0
Vatican City,0.0
Venezuela,-182.51682683814036
Vietnam,23.58032187734727
Wales,-18.97382154740029
Western Armenia,0.0
Western Isles,0.0
Western Sahara,0.0
Yemen,-111.68846264654043
Ynys Môn,0.0
Yorkshire,0.0
Zambia,33.40947606582331
Zanzibar,0.0
Zimbabwe,-56.5364508287309
Åland Islands,0.0
